Musa acuminata, 103987549, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103988707, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103981341, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103976913, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103970153, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103999373, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103972416, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103970582, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103970589, peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103993172, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103993173, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103994231, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103996509, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 104000131, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103982537, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103998326, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103999441, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103999450, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103971032, peroxidase P7-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103987043, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Musa acuminata, 103988131, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
