ASTERACEAE#CENTAUREA URVILLEI_SSP.URVILLEI#APIGENIN#APIGENIN,6-HYDROXY: 4'-METHYL ETHER-7-O-GLUCOSIDE
ASTERACEAE#CENTAUREA URVILLEI_VAR.STEPPOSA#APIGENIN
ASTERACEAE#CENTAUREA VIRGATA#APIGENIN
ASTERACEAE#CENTIPEDA MINIMA#APIGENIN
ASTERACEAE#CHRYSANTHEMUM BALSAMITA#APIGENIN-7-DIGLYCOSIDE
ASTERACEAE#CHRYSANTHEMUM BOREALE#APIGENIN
ASTERACEAE#CHRYSANTHEMUM CARINATUM#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CHRYSANTHEMUM CINERARIAEFOLIUM#APIGENIN#APIGENIN-4'-O-BETA-D-GLUCURONIDE#APIGENIN-7-GALACTURONIC ACID METHYL ESTER#APIGENIN-7-GLUCURONIC ACID#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CHRYSANTHEMUM INDICUM#APIGENIN
ASTERACEAE#CHRYSANTHEMUM LEUCANTHEMUM#APIGENIN-7-O-BETA-D-GLUCOSIDURONIC ACID#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CHRYSANTHEMUM NIVELLEI#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CHRYSANTHEMUM SEGETUM#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CHRYSANTHEMUM VISCIDI-HIRTUM#APIGENIN,4'-O-METHYL: 2''-GLUCOSYL-8-C-GLUCOSYL:#APIGENIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#CHRYSOTHAMNUS PULCHELLUS#APIGENIN
ASTERACEAE#CICERBITA PLUMIERI#APIGENIN
ASTERACEAE#CICHORIUM INTYBUS#APIGENIN#APIGENIN-7-O-ALPHA-L-ARABINOSIDE
ASTERACEAE#CIRSIUM ARVENSE#APIGENIN#APIGENIN,4'-METHOXY:
ASTERACEAE#CIRSIUM HETEROPHYLLUM#APIGENIN#APIGENIN,4'-METHOXY:
ASTERACEAE#CIRSIUM JAPONICUM#APIGENIN
ASTERACEAE#CIRSIUM NIPPONICUM#APIGENIN
ASTERACEAE#CIRSIUM OLERACEUM#APIGENIN
ASTERACEAE#CIRSIUM RHINOCEROS#APIGENIN
ASTERACEAE#CIRSIUM SETOSUM#APIGENIN
ASTERACEAE#CIRSIUM SYRIACUM#APIGENIN#APIGENIN-7-O-BETA-D-DIGLUCOSIDE
ASTERACEAE#CIRSIUM VALLIS-DEMONII#APIGENIN
ASTERACEAE#CIRSIUM VULGARE#APIGENIN-7-O-BETA-D-DIGLUCOSIDE
ASTERACEAE#CONYZA BONARIENSIS#APIGENIN
ASTERACEAE#CONYZA DIOSCORIDIS#APIGENIN-6-8-DI-C-GLUCOSIDE
ASTERACEAE#CONYZA LINIFOLIA#APIGENIN-7-METHYL ETHER,6-METHOXY: 4'-O-GLUCURONIDE
ASTERACEAE#CONYZA SOPHIIFOLIA#APIGENIN
