ACANTHACEAE#ADHATODA VASICA#QUERCETIN
APIACEAE#CICUTA VIROSA#QUERCETIN#QUERCETIN-3-O-ALPHA-L-RHAMNO-GLUCOSIDE
APIACEAE#CNIDIUM DAHURICUM#QUERCETIN
APIACEAE#CORIANDRUM SATIVUM#QUERCETIN
APIACEAE#CRITHMUM MARITIMUM#QUERCETIN
APIACEAE#DAUCUS CAROTA#QUERCETIN
APIACEAE#DAUCUS DURIEUA#QUERCETIN
APIACEAE#DAUCUS GLOCHIDIATUS#QUERCETIN-3-MONOGLYCOSIDE
APIACEAE#DAUCUS LITTORALIS#QUERCETIN-3-DIGLUCOSIDE
APIACEAE#ERYNGIUM CAMPESTRE#QUERCETIN#QUERCETIN-3-O-DI-PARA-COUMAROYL-GLUCOSIDE
APIACEAE#ERYNGIUM PLANUM#QUERCETIN
APIACEAE#FERULAGO GRANATENSIS#QUERCETIN
APIACEAE#FERULAGO SYLVATICA#QUERCETIN
APIACEAE#FOENICULUM VULGARE#QUERCETIN#QUERCETIN-3-GLUCURONIDE
APIACEAE#GLEHNIA LITTORALIS#QUERCETIN#QUERCETIN,ISO:
APIACEAE#HEPTAPTERA TRIQUETRA#QUERCETIN
APIACEAE#HERACLEUM LEHMANNIANUM#QUERCETIN
APIACEAE#HERACLEUM MANTEGAZZIANUM#QUERCETIN
APIACEAE#HETEROMORPHA ARBORESCENS#QUERCETIN
APIACEAE#HYDROCOTYLE SIBTHORPIOIDES#QUERCETIN#QUERCETIN-3-O-BETA-D-(6''-CAFFEOYL-GALACTOSIDE)
APIACEAE#HYDROCOTYLE VULGARIS#QUERCETIN-3-O-(6-O-ALPHA-L-ARABINOSYL)-BETA-D-GALACTOSIDE#QUERCETIN-3-O-ROBINOSIDE
APIACEAE#MEUM ATHAMANTICUM#QUERCETIN
APIACEAE#OENANTHE CROCATA#QUERCETIN-3-SULFATE
APIACEAE#ORLAYA DAUCORLAYA#QUERCETIN-3-GLUCURONIDE
APIACEAE#ORLAYA GRANDIFLORA#QUERCETIN-3-GLUCURONIDE
APIACEAE#OSTERICUM CITRIODORUM#QUERCETIN-3-GLUCURONIDE
APIACEAE#PASTINACA SATIVA_ssp.SATIVA#QUERCETIN
APIACEAE#PASTINACA SATIVA_ssp.URENS#QUERCETIN
APIACEAE#PETROSELINUM CRISPUM#QUERCETIN
APIACEAE#PEUCEDANUM MORISONII#QUERCETIN
APIACEAE#PEUCEDANUM VERTICILLARE#QUERCETIN
APIACEAE#PHYSOSPERMUM CORNUBIENSE#
APIACEAE#PIMPINELLA PEREGRINA#
APIACEAE#PIMPINELLA SAXIFRAGA#
APIACEAE#PLEUROSPERMUM FRANCHETIANUM#QUERCETIN-3-7-DI-O-BETA-D-GLUCOSIDE
APIACEAE#PLEUROSPERMUM GIRALDII#QUERCETIN
APIACEAE#PLEUROSPERMUM GOVANIANUM_var.BICOLOR#QUERCETIN
APIACEAE#PRANGOS GONIOCARPA#
APIACEAE#PRANGOS ODONTALGICA#
APIACEAE#PSEUDORLAYA PUMILA#QUERCETIN-3-O-BETA-D-DIGLUCOSIDE
APIACEAE#SANICULA GRAVEOLENS#QUERCETIN
APIACEAE#SCANDICIUM STELLATUM#
APIACEAE#SIUM ERECTUM#QUERCETIN-3-O-ALPHA-L-RHAMNO-GLUCOSIDE
APIACEAE#SMYRNIUM CRETICUM#QUERCETIN
APIACEAE#SMYRNIUM OLUSATRUM#
APIACEAE#TORDYLIUM APULUM#QUERCETIN-(3'''-4'''-DIACETYL)-RHAMNOSYL-GLUCOSIDE
APIACEAE#TORDYLIUM SYRIACUM#
APIACEAE#ZOSIMA ORIENTALIS#QUERCETIN#QUERCETIN-3-7-DI-O-BETA-D-GLUCOSIDE
APIDAE#APIS MELLIFERA#QUERCETIN
APOCYNACEAE#ADENIUM OBESUM#QUERCETIN,3-3'-BIS-(O-METHYL):
APOCYNACEAE#AGANOSMA CARYOPHYLLATA#QUERCETIN
APOCYNACEAE#ALLAMANDA CATHARTICA#QUERCETIN
APOCYNACEAE#ALLAMANDA SCHOTTII#QUERCETIN
APOCYNACEAE#ALLAMANDA VIOLACEA#QUERCETIN
APOCYNACEAE#ANODENDRON AFFINE#QUERCETIN-3-O-(2''-O-GALACTOSYL)-GLUCOSIDE
APOCYNACEAE#APOCYNUM LANCIFOLIUM#QUERCETIN
APOCYNACEAE#APOCYNUM VENETUM#QUERCETIN#QUERCETIN,ISO:
APOCYNACEAE#ASPIDOSPERMA QUEBRACHO-BLANCO#QUERCETIN-3-O-RHAMNO-GLUCOSIDE
APOCYNACEAE#BAISSEA LEONENSIS#QUERCETIN
APOCYNACEAE#BEAUMONTIA GRANDIFLORA#QUERCETIN
APOCYNACEAE#CARISSA CONGESTA#QUERCETIN
APOCYNACEAE#CATHARANTHUS ROSEUS#QUERCETIN#QUERCETIN-3-O-(2-6-DI-O-ALPHA-L-RHAMNOPYRANOSYL-BETA-D-GALACTOPYRANOSIDE)#QUERCETIN-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-2)-ALPHA-RHAMNOPYRANOSYL(1-6)-BETA-D-GALACTOPYRANOSIDE
APOCYNACEAE#CERBERA MANGHAS#QUERCETIN
APOCYNACEAE#ERVATAMIA CORONARIA#QUERCETIN
APOCYNACEAE#HOLARRHENA ANTIDYSENTERICA#QUERCETIN
APOCYNACEAE#HOLARRHENA CURTISII#QUERCETIN
APOCYNACEAE#ICHNOCARPUS FRUTESCENS#QUERCETIN
APOCYNACEAE#LANDOLPHIA DAWEI#QUERCETIN
APOCYNACEAE#LEUCONOTIS EUGENIFOLIUS#QUERCETIN-2-O-BETA-D-XYLOSYL-BETA-D-GALACTOSIDE
APOCYNACEAE#PLEIOCARPA MUTICA#QUERCETIN
APOCYNACEAE#PLUMERIA RUBRA#QUERCETIN
APOCYNACEAE#PLUMERIA RUBRA_var.ALBA#QUERCETIN
APOCYNACEAE#POACYNUM HENDERSONII#QUERCETIN#QUERCETIN-3-O-SOPHOROSIDE
APOCYNACEAE#POACYNUM PICTUM#QUERCETIN#QUERCETIN-3-O-SOPHOROSIDE
APOCYNACEAE#RAUVOLFIA TETRAPHYLLA#QUERCETIN
APOCYNACEAE#RAUVOLFIA VOMITORIA#QUERCETIN
APOCYNACEAE#RHAZYA ORIENTALIS#QUERCETIN-3-O-(6-O-ALPHA-L-RHAMNOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE#QUERCETIN-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-[ALPHA-L-RHAMNOPYRANOSYL(1-2)]-4-O-TRANS-PARA-COUMAROYL)-BETA-D-GALACTOPYRANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE#QUERCETIN-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-[ALPHA-L-RHAMNOSPYRANOSY(1-2)]-(3-O-TRANS-PARA-COUMAROYL)-BETA-D-GALACTOPYRANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE
APOCYNACEAE#RHAZYA STRICTA#QUERCETIN
APOCYNACEAE#STROPHANTHUS WALLICHII#QUERCETIN
APOCYNACEAE#THEVETIA PERUVIANA#QUERCETIN#QUERCETIN-3-GLUCOSYL(1-2)-GALACTOSIDE#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSIDE#QUERCETIN-3-O-[6'''-O-SINAPOYL-BETA-D-GLUCOPYRANOSYL](1-2)-BETA-D-GALACTOPYRANOSIDE
APOCYNACEAE#TRACHELOPSPERMUM JASMINOIDES#QUERCETIN
APOCYNACEAE#TRACHELOSPERMUM FRAGRANS#QUERCETIN
APOCYNACEAE#TRACHOMITUM VENETUM#QUERCETIN
APOCYNACEAE#VALLARIS SOLANACEA#QUERCETIN
APOCYNACEAE#VINCA HERBACEA#QUERCETIN
APOCYNACEAE#VINCA MINOR#QUERCETIN-3-O-BETA-D-RUTINOSYL-7-O-BETA-D-GLUCOSIDE
APOCYNACEAE#WRIGHTIA TINCTORIA#QUERCETIN
APOCYNACEAE#WRIGHTIA TOMENTOSA#QUERCETIN
AQUIFOLIACEAE#ILEX AFFINIS#QUERCETIN
AQUIFOLIACEAE#ILEX AMARA#QUERCETIN
AQUIFOLIACEAE#ILEX AMELANCHIER#QUERCETIN
AQUIFOLIACEAE#ILEX AMYGDALIFOLIA#QUERCETIN
AQUIFOLIACEAE#ILEX ARGENTINA#QUERCETIN
AQUIFOLIACEAE#ILEX BELIZENSIS#QUERCETIN
AQUIFOLIACEAE#ILEX BOLIVIANA#QUERCETIN
AQUIFOLIACEAE#ILEX BRASILIESIS#QUERCETIN
AQUIFOLIACEAE#ILEX BREVICUSPIS#QUERCETIN
AQUIFOLIACEAE#ILEX CANARIENSIS#QUERCETIN
AQUIFOLIACEAE#ILEX CASSINE#QUERCETIN
AQUIFOLIACEAE#ILEX CHAMAEDRYFOLIA#QUERCETIN
AQUIFOLIACEAE#ILEX COLCHICA#QUERCETIN#QUERCETIN-3-O-BETA-D-GLUCOSYL-ARABINOSIDE
AQUIFOLIACEAE#ILEX CONOCARPA#QUERCETIN
AQUIFOLIACEAE#ILEX CORIACEA#QUERCETIN
AQUIFOLIACEAE#ILEX CRENATA#QUERCETIN
AQUIFOLIACEAE#ILEX CURTISSII#QUERCETIN
AQUIFOLIACEAE#ILEX CYMOSA#QUERCETIN
AQUIFOLIACEAE#ILEX DECIDUA#QUERCETIN
AQUIFOLIACEAE#ILEX DISCOLOR#QUERCETIN
AQUIFOLIACEAE#ILEX DIURETICA#QUERCETIN
AQUIFOLIACEAE#ILEX DUMOSA#QUERCETIN
AQUIFOLIACEAE#ILEX DUMOSA_var.DUMOSA#QUERCETIN
AQUIFOLIACEAE#ILEX DUMOSA_var.GUARAMIO#QUERCETIN
AQUIFOLIACEAE#ILEX FICOIDEA#QUERCETIN
AQUIFOLIACEAE#ILEX GENICULATA#QUERCETIN
AQUIFOLIACEAE#ILEX GLABRA#QUERCETIN
AQUIFOLIACEAE#ILEX GUIANENSIS#QUERCETIN
AQUIFOLIACEAE#ILEX KRUGIANA#QUERCETIN
AQUIFOLIACEAE#ILEX LAEVIGATA#QUERCETIN
AQUIFOLIACEAE#ILEX LEUCOCLADA#QUERCETIN
AQUIFOLIACEAE#ILEX LONGIPES#QUERCETIN
AQUIFOLIACEAE#ILEX MACFADYENII#QUERCETIN
AQUIFOLIACEAE#ILEX MACROPODA#QUERCETIN
AQUIFOLIACEAE#ILEX MARTINIANA#QUERCETIN
AQUIFOLIACEAE#ILEX MATTHEWSII#QUERCETIN
AQUIFOLIACEAE#ILEX MICROCOCCA#QUERCETIN
AQUIFOLIACEAE#ILEX MICRODONTA#QUERCETIN
AQUIFOLIACEAE#ILEX MITIS#QUERCETIN
AQUIFOLIACEAE#ILEX MONTANA#QUERCETIN
AQUIFOLIACEAE#ILEX MYRTIFOLIA#QUERCETIN
AQUIFOLIACEAE#ILEX NITIDA#QUERCETIN
AQUIFOLIACEAE#ILEX PARAGUARIENSIS#QUERCETIN
AQUIFOLIACEAE#ILEX PERNYI#QUERCETIN-3-O-SAMBUBIOSIDE
AQUIFOLIACEAE#ILEX PHYTLIREAEFOLIA#QUERCETIN
AQUIFOLIACEAE#ILEX PSEUDOBUXUS#QUERCETIN
AQUIFOLIACEAE#ILEX PSEUDOVACCINIUM#QUERCETIN
AQUIFOLIACEAE#ILEX QUERCETORUM#QUERCETIN
AQUIFOLIACEAE#ILEX REPANDA#QUERCETIN
AQUIFOLIACEAE#ILEX SIDEROXYLOIDES#QUERCETIN
AQUIFOLIACEAE#ILEX TAUBERTIANA#QUERCETIN
AQUIFOLIACEAE#ILEX TECTONICA#QUERCETIN
AQUIFOLIACEAE#ILEX TERATOPIS#QUERCETIN
AQUIFOLIACEAE#ILEX THEEZANS#QUERCETIN
AQUIFOLIACEAE#ILEX WRAIENSIS#QUERCETIN
