ACANTHACEAE#ANISACANTHUS VIRGULARIS#LUTEOLIN
ASTERACEAE#INULANTHERA NUDA#LUTEOLIN-7-(2''-O-ACETYL-BETA-D-GLUCURONIDE#LUTEOLIN-7-GLUCURONIDE
ASTERACEAE#ISOCOMA ACRADENIA#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#IXERIS DENTICULATA#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE 6''-METHYL ESTER#LUTEOLIN-7-O-GLUCURONIDE-6'-METHYL ESTER
ASTERACEAE#IXERIS LAEVIGATA_VAR.OLDHAMI#LUTEOLIN
ASTERACEAE#IXERIS SONCHIFOLIA#LUTEOLIN#LUTEOLIN-7-GLUCURONIDE ETHYL ESTER#LUTEOLIN-7-GLUCURONIDE METHYL ESTER#LUTEOLIN-7-O-BETA-D-GLUCOSYL(1-2)-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCOSYL(1-6)-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE ETHYL ESTER#LUTEOLIN-7-O-BETA-GLUCURONIDE METHYL ESTER
ASTERACEAE#JASONIA CANDICANS#LUTEOLIN
ASTERACEAE#JASONIA MONTANA#LUTEOLIN-3'-7-DIMETHYL ETHER
ASTERACEAE#KOELPINIA LINEARIS#LUTEOLIN
ASTERACEAE#LACTUCA ACANTHIFOLIA#LUTEOLIN
ASTERACEAE#LACTUCA ACULEATA#LUTEOLIN
ASTERACEAE#LACTUCA ALTAICA#LUTEOLIN
ASTERACEAE#LACTUCA GRAECA#LUTEOLIN
ASTERACEAE#LACTUCA INDICA#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#LACTUCA PERENNIS#LUTEOLIN
ASTERACEAE#LACTUCA QUERCINA#LUTEOLIN
ASTERACEAE#LACTUCA SALIGNA#LUTEOLIN#LUTEOLIN,7-O-METHYL:
ASTERACEAE#LACTUCA SATIVA#LUTEOLIN
ASTERACEAE#LACTUCA SCARIOLA#LUTEOLIN
ASTERACEAE#LACTUCA SERRIOLA#LUTEOLIN
ASTERACEAE#LACTUCA TATARICA#LUTEOLIN
ASTERACEAE#LACTUCA TENERRIMA#LUTEOLIN
ASTERACEAE#LACTUCA TRIQUETRA#LUTEOLIN
ASTERACEAE#LACTUCA VIMINEA#LUTEOLIN#LUTEOLIN-7-O-GLUCURONIDE-6''-METHYL ESTER
ASTERACEAE#LACTUCA VIROSA#LUTEOLIN
ASTERACEAE#LAPSANA COMMUNIS_CV.COMMUNIS#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#LAUNAEA ACANTHOCLADA#LUTEOLIN#LUTEOLIN-7-O-RHAMNOSIDE
ASTERACEAE#LAUNAEA ARBORESCENS#LUTEOLIN#LUTEOLIN-7-O-RHAMNOSIDE
ASTERACEAE#LAUNAEA ASPLENIIFOLIA#LUTEOLIN
ASTERACEAE#LAUNAEA CAPITATA#LUTEOLIN-3'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-4'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-GENTIOBIOSIDE#LUTEOLIN-7-GENTIOBIOSIDE-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#LAUNAEA CASSINIANA#LUTEOLIN-3'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-4'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-GENTIOBIOSIDE#LUTEOLIN-7-GENTIOBIOSIDE-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#LAUNAEA NUDICAULIS#LUTEOLIN-3'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-4'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-GENTIOBIOSIDE#LUTEOLIN-7-GENTIOBIOSIDE-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#LAUNAEA RESEDIFOLIA#LUTEOLIN-3'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-4'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-GENTIOBIOSIDE#LUTEOLIN-7-GENTIOBIOSIDE-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#LAUNAEA SPINOSA#LUTEOLIN-3'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-4'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-GENTIOBIOSIDE#LUTEOLIN-7-GENTIOBIOSIDE-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#LAUNAEA TENUILOBA#LUTEOLIN-3'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-4'-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-GENTIOBIOSIDE#LUTEOLIN-7-GENTIOBIOSIDE-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#LAYIA ELEGANS#LUTEOLIN
ASTERACEAE#LEONTODON MAROCCANUS#LUTEOLIN
ASTERACEAE#LEONTODON TARAXACOIDES#LUTEOLIN#LUTEOLIN-4'-O-GLUCOSIDE
ASTERACEAE#LEONTOPODIUM OCHROLEUCUM#LUTEOLIN-7-O-BETA-D-GLYCOSIDE
ASTERACEAE#LEUCANTHEMUM MYCONIS#LUTEOLIN
ASTERACEAE#LEUCOCYCLUS FORMOSUS_CV.AMANICUS#LUTEOLIN,6-HYDROXY: 3'-4'-6-7-TETRAMETHYL ETHER
ASTERACEAE#LEUCOCYCLUS FORMOSUS_CV.FORMOSUS#LUTEOLIN-7-O-RHAMNOGLUCOSIDE
ASTERACEAE#LONAS INODORA#LUTEOLIN
ASTERACEAE#LYCHNOPHORA ERICOIDES#LUTEOLIN
ASTERACEAE#LYCHNOPHORA POHLII#LUTEOLIN#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#MATRICARIA CHAMOMILLA#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#MATRICARIA CHAMOMILLA_VAR.RECUTITA#LUTEOLIN
ASTERACEAE#MATRICARIA INODORA#LUTEOLIN
ASTERACEAE#MATRICARIA MATRICARIOIDES#LUTEOLIN
ASTERACEAE#MIKANIA HOEHNEI#LUTEOLIN
ASTERACEAE#MYCELIS MURALIS#LUTEOLIN
ASTERACEAE#NEUROLAENA LOBATA#LUTEOLIN,6-HYDROXY: 3'-METHYL ETHER#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#NEUROLAENA MACROPHYLLA#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#NEUROLAENA OAXACANA#LUTEOLIN,6-HYDROXY: 3'-METHYL ETHER#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#NOTOSERIS PORPHYROLEPIS#LUTEOLIN
ASTERACEAE#OLEARIA AXILLARIS#LUTEOLIN-3'-8-O-DIMETHYL ETHER
ASTERACEAE#ONCOSIPHON GRANDIFLORUM#LUTEOLIN,6-HYDROXY: 3'-6-7-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-7-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#ONOPORDON HETERACANTHUM#LUTEOLIN
ASTERACEAE#ONOPORDUM ACANTHIUM#LUTEOLIN
ASTERACEAE#ONOPORDUM ACAULON#LUTEOLIN
ASTERACEAE#ONOPORDUM ALEXANDRINUM#LUTEOLIN#LUTEOLIN-7-O-GALACTOSIDE
ASTERACEAE#ONOPORDUM CORYMBOSUM#LUTEOLIN
ASTERACEAE#ONOPORDUM LACONICUM#LUTEOLIN#LUTEOLIN-7-O-GALACTOSIDE
ASTERACEAE#ONOPORDUM MACROCANTHUM#LUTEOLIN
ASTERACEAE#ONOPORDUM MYRIACANTHUM#LUTEOLIN
ASTERACEAE#ONOPORDUM SIBTHORPIANUM#LUTEOLIN
ASTERACEAE#ONOPORDUM TAURICUM#LUTEOLIN
ASTERACEAE#PALAFOXIA SPHACELATA#LUTEOLIN#LUTEOLIN,3'-6-7-TRIMETHOXY:
ASTERACEAE#PARTHENIUM INCANUM#LUTEOLIN#LUTEOLIN,3'-4'-6-7-TETRAMETHOXY:#LUTEOLIN,6-7-DIMETHOXY:
ASTERACEAE#PHAGNALON RUPESTRE#LUTEOLIN#LUTEOLIN-7-O-BETA-GLUCURONIDE
ASTERACEAE#PHAGNALON SAXATILE#LUTEOLIN
ASTERACEAE#PICNOMON ACARNA#LUTEOLIN-3'-7-DIMETHYL ETHER#LUTEOLIN-3'-METHYL ETHER
ASTERACEAE#PICRIS CYANOCARPA#LUTEOLIN
ASTERACEAE#PICRIS HIERACIOIDES#LUTEOLIN
ASTERACEAE#PICRIS KAMTSCHATICA#LUTEOLIN
ASTERACEAE#PICRIS RADIATA#LUTEOLIN
ASTERACEAE#PILOSELLA OFFICINARUM#LUTEOLIN
ASTERACEAE#PSIADIA PUNCTULATA#LUTEOLIN
ASTERACEAE#PTARMICA IMPATIENS#LUTEOLIN
ASTERACEAE#PTEROCYPSELA FORMOSANA#LUTEOLIN
ASTERACEAE#PYRETHRUM CORYMBOSUM#LUTEOLIN
ASTERACEAE#PYRRHOPAPPUS GEORGIANUS#LUTEOLIN#LUTEOLIN-7-DI-O-BETA-D-GLUCOSIDE
ASTERACEAE#PYRRHOPAPPUS ROTHROCKII#LUTEOLIN-7-DI-O-BETA-D-GLUCOSIDE
ASTERACEAE#RAOULIA AUSTRALIS#LUTEOLIN
ASTERACEAE#RAOULIA GLABRA#LUTEOLIN
ASTERACEAE#RAOULIA HOOKERI_VAR.ALBO-SERICEA#LUTEOLIN
ASTERACEAE#RAOULIA HOOKERI_VAR.APICE-NIGRA#LUTEOLIN
ASTERACEAE#RAOULIA HOOKERI_VAR.HOOKERI#LUTEOLIN
ASTERACEAE#RAOULIA MONROI#LUTEOLIN
ASTERACEAE#RAOULIA PETRIENSIS#LUTEOLIN
ASTERACEAE#RAOULIA SUBSERICEA#LUTEOLIN
ASTERACEAE#RAOULIA TENUICAULIS#LUTEOLIN
ASTERACEAE#REICHARDIA PICROIDES#LUTEOLIN#LUTEOLIN-3'-7'-O-DIGLUCOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#REICHARDIA TINGITANA#LUTEOLIN-7-O-GALACTOSYL-GLUCOSIDE#LUTEOLIN-7-O-RHAMNOSIDE
ASTERACEAE#RELHANIA CORYMBOSA#LUTEOLIN
ASTERACEAE#RHAGADIOLUS STELLATUS#LUTEOLIN
ASTERACEAE#RHAPONTICUM CARTHAMOIDES#LUTEOLIN
ASTERACEAE#ROBINSONIA EVENIA#LUTEOLIN-7-O-DIGLYCOSIDE
ASTERACEAE#ROTHMALERIA GRANATENSIS#LUTEOLIN
ASTERACEAE#SANTOLINA CHAMAECYPARISSUS#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN-7-METHYL ETHER#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#SANTOLINA OBLONGIFOLIA#LUTEOLIN
ASTERACEAE#SANTOLINA PINNATA#LUTEOLIN
ASTERACEAE#SANTOLINA ROSMARINIFOLIA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-4'-6-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#SAUSSUREA INVOLUCRATA#LUTEOLIN-GLUCO-RHAMNOSIDE
ASTERACEAE#SAUSSUREA MEDUSA#LUTEOLIN
ASTERACEAE#SAUSSUREA PULCHELLA#LUTEOLIN,7-O-BETA-D-GLUCORHAMNOSIDE
ASTERACEAE#SAUSSUREA TRIDACTYLA#LUTEOLIN#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SCARIOLA TETRANTHA#LUTEOLIN
ASTERACEAE#SCHMALHAUSENIA NIDULANS#LUTEOLIN#LUTEOLIN-7-O-GLUCURONIDE
ASTERACEAE#SCOLYMUS HISPANICUS#LUTEOLIN
ASTERACEAE#SCOLYMUS MACULATUS#LUTEOLIN
ASTERACEAE#SCORZONERA AUSTRIACA_VAR.ANGUSTIFOLIA#LUTEOLIN
ASTERACEAE#SCORZONERA CRISPATULA#LUTEOLIN
ASTERACEAE#SCORZONERA GRAMINIFOLIA#LUTEOLIN
ASTERACEAE#SCORZONERA HIRSUTA#LUTEOLIN
ASTERACEAE#SCORZONERA HISPANICA#LUTEOLIN
ASTERACEAE#SCORZONERA LACINIATA#LUTEOLIN
ASTERACEAE#SCORZONERA MOLLIS#LUTEOLIN
ASTERACEAE#SCORZONERA PSEUDOLANATA#LUTEOLIN
ASTERACEAE#SCORZONERA PUSILLA#LUTEOLIN
ASTERACEAE#SENECIO CRASSIFLORUS#LUTEOLIN
ASTERACEAE#SENECIO VISCOSUS#LUTEOLIN-3'-7-DIMETHYL ETHER
ASTERACEAE#SERIPHIDIUM SANTOLINUM#LUTEOLIN
ASTERACEAE#SERRATULA CORONATA#LUTEOLIN#LUTEOLIN-4'-BETA-D-GLUCOSIDE
ASTERACEAE#SILYBUM MARIANUM_CV.ANATOLICUM#LUTEOLIN
ASTERACEAE#SONCHUS ACAULIS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS ARVENSIS#LUTEOLIN
ASTERACEAE#SONCHUS ARVENSIS_CV.ULIGINOSUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS ASPER#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#SONCHUS ASPER_CV.GLAUCESCENS#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS BIPONTINI_VAR.GLANDULIGERUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS BOURGEAUI_VAR.IMBRICATUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS BRACHYLOBUS_VAR.CANARIAE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS BRACHYOTUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS CANARINSIS_CV.OROTAVENSIS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS CONGESTUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS CRASSIFOLIUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS FAUCES-ORCI#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS FRUTICOSUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS GANDOGERI#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS GOMERENSIS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS GUMMIFER#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS HIERRENSIS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS HYDROPHILUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS LIDII#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS LUXURIANS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-RUTINOSIDE
ASTERACEAE#SONCHUS MACROCARPUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS MARITIMUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS MARITIMUS_CV.AQUATILIS#LUTEOLIN
ASTERACEAE#SONCHUS MELANOLEPIS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS NANUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS OLERACEUS#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS PALMENSIS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS PINNATIFIDUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS PINNATUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS PITARDII#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS PUSTULATUS#LUTEOLIN
ASTERACEAE#SONCHUS RADICATUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS SCHWEINFURTHII#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS TENERRIMUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SONCHUS USTULATUS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#SOROSERIS HOOKERIANA_CV.ERYSIMOIDES#LUTEOLIN,ISO:
ASTERACEAE#STEVIA MICROCHAETA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
ASTERACEAE#STIFFTIA CHRYSANTHA#LUTEOLIN
ASTERACEAE#SYMPHYOPAPPUS COMPRESSUS#LUTEOLIN
ASTERACEAE#TAECKHOLMIA CANARIENSIS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#TAECKHOLMIA CAPILLARIS#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#TAECKHOLMIA HETEROPHYLLA#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#TAECKHOLMIA MICROCARPA#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#TAECKHOLMIA REGIS-JUBAE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#TAGETES PATULA#LUTEOLIN
ASTERACEAE#TAGETES RUPESTRIS#LUTEOLIN
ASTERACEAE#TANACETUM AUCHERIANUM#LUTEOLIN,3'-4'-6-7-TETRAMETHOXY:#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#TANACETUM BALSAMITA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#TANACETUM CHILIOPHYLLUM#LUTEOLIN,6-HYDROXY: 3'-4'-6-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER
ASTERACEAE#TANACETUM COCCINEUM#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#TANACETUM CORYMBOSUM#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#TANACETUM DENSUM_CV.AMANI#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#TANACETUM MACROPHYLLUM#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#TANACETUM NIVEUM#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#TANACETUM PARTHENIUM#LUTEOLIN#LUTEOLIN-7-GLUCURONIDE#LUTEOLIN-7-O-GLUCURONIDE
ASTERACEAE#TANACETUM POLYCEPHALUM#LUTEOLIN#LUTEOLIN,3'-METHYL:#LUTEOLIN,6-HYDROXY: 6-7-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#TANACETUM VULGARE#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 4'-6-7-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN,6-HYDROXY: 7-O-BETA-D-GLUCOSIDE#LUTEOLIN-3'-METHYL ETHER#LUTEOLIN-7-GLUCURONIDE
ASTERACEAE#TARAXACUM HALLAISANENSIS#LUTEOLIN-7-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE
ASTERACEAE#TARAXACUM OFFICINALE#LUTEOLIN#LUTEOLIN-3'-O-BETA-D-GLUCOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-(6''-O-ALPHA-L-RHAMNOSYL)-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-DIGLUCOSIDE#LUTEOLIN-7-O-GENTIOBIOSIDE#LUTEOLIN-7-O-RHAMNOGLUCOSIDE
ASTERACEAE#TARAXACUM SINICUM#LUTEOLIN
ASTERACEAE#TARCHONANTHUS CAMPHORATUS#LUTEOLIN
ASTERACEAE#TESSARIA DODONEIFOLIA#LUTEOLIN
ASTERACEAE#THELESPERMA MEGAPOTAMICUM#LUTEOLIN
ASTERACEAE#THYMOPHYLLA BELENDIUM#LUTEOLIN#LUTEOLIN,7-METHYL:
ASTERACEAE#TITHONIA CALVA#LUTEOLIN#LUTEOLIN,4'-METHOXY:
ASTERACEAE#TRAGOPOGON CROCIFOLIUS#LUTEOLIN
ASTERACEAE#TRAGOPOGON DASYRHYNCHUS#LUTEOLIN-7-O-BETA-D-GLUCO-GALACTOSIDE
ASTERACEAE#TRAGOPOGON HYBRIDUS#LUTEOLIN
ASTERACEAE#TRAGOPOGON LONGIROSTRIS#LUTEOLIN
ASTERACEAE#TRAGOPOGON PORRIFOLIUS#LUTEOLIN
ASTERACEAE#TRAGOPOGON PRATENSIS#LUTEOLIN
ASTERACEAE#TRIPLEUROSPERMUM PHAEOCEPHALUM#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ASTERACEAE#TRIPLEUROSPERMUM TCHICHATCHEVII#LUTEOLIN
ASTERACEAE#UNIDENTIFIED THISTLE#LUTEOLIN
ASTERACEAE#UROSPERMUM DALECHAMPII#LUTEOLIN-4'-O-GLUCOSIDE
ASTERACEAE#UROSPERMUM PICROIDES#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-4'-O-GLUCOSIDE
ASTERACEAE#VERNONIA ACAULIS#ETHER#LUTEOLIN-3'-7-DIMETHYL ETHER#LUTEOLIN-3'-METHYL ETHER#LUTEOLIN-7-METHYL#LUTEOLIN-7-O-ALPHA-L-GALACTOSYL-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCOSYL-GLUCOSIDE
ASTERACEAE#VERNONIA ALTISSIMA#LUTEOLIN#LUTEOLIN,3'-METHOXY:#LUTEOLIN,3-7-DIMETHOXY:#LUTEOLIN,7-METHOXY:
ASTERACEAE#VERNONIA AMYGDALINA#LUTEOLIN#LUTEOLIN-7-O-GLUCURONIDE
ASTERACEAE#VERNONIA BIPONTINI#LUTEOLIN#LUTEOLIN-7-GLYCOSIDE#LUTEOLIN-7-RHAMOSIDE
ASTERACEAE#VERNONIA CINERASCENS#LUTEOLIN
ASTERACEAE#VERNONIA CINEREA#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
ASTERACEAE#VERNONIA DESERTORUM#LUTEOLIN#LUTEOLIN-8-C-GLYCOSIDE
ASTERACEAE#VERNONIA FLEXUOSA#LUTEOLIN#LUTEOLIN-8-C-GLYCOSIDE
ASTERACEAE#VERNONIA HERBACEA#LUTEOLIN#LUTEOLIN-8-C-GLYCOSIDE
ASTERACEAE#VERNONIA LEOPOLDI#LUTEOLIN
ASTERACEAE#VERNONIA LITHOSPERMIFOLIA#LUTEOLIN#LUTEOLIN-8-C-GLYCOSIDE
ASTERACEAE#VERNONIA NITIDULA#LUTEOLIN
ASTERACEAE#VERNONIA PATULA#LUTEOLIN#LUTEOLIN-4'-O-BETA-O-GLUCOSIDE
ASTERACEAE#VERNONIA PECTORALIS#LUTEOLIN
ASTERACEAE#VERNONIA PLATENSIS#LUTEOLIN#LUTEOLIN-8-C-GLYCOSIDE
ASTERACEAE#VERNONIA PROPINQUA#LUTEOLIN#LUTEOLIN-8-C-GLYCOSIDE
ASTERACEAE#VERNONIA SIMPLEX#LUTEOLIN#LUTEOLIN-8-C-GLYCOSIDE
ASTERACEAE#VERNONIA VERBASCIFOLIA#LUTEOLIN#LUTEOLIN-8-C-GLYCOSIDE
ASTERACEAE#VERNONIOPSIS CAUDATA#LUTEOLIN-4'-BETA-D-O-GLUCOPYRANOSIDE
ASTERACEAE#VICOA INDICA#LUTEOLIN,6-HYDROXY: 3'-7-DIMETHYL ETHER
ASTERACEAE#VIGUIERA ADENOPHYLLA#LUTEOLIN#LUTEOLIN,6-HYDROXY:
ASTERACEAE#VIGUIERA DELTOIDEA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 7-METHYL ETHER
ASTERACEAE#VIGUIERA ERIOPHORA_CV.ERIOPHORA#LUTEOLIN#LUTEOLIN,6-HYDROXY:
