ACANTHACEAE#ANISACANTHUS VIRGULARIS#LUTEOLIN
APIACEAE#TORILIS TENELLA#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-RUTINOSIDE
APIACEAE#TURGENIA LATIFOLIA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-ARABINOSIDE#LUTEOLIN-7-ARABINOSYLGLUCOSIDE
APOCYNACEAE#ICHNOCARPUS FRUTESCENS#LUTEOLIN
APOCYNACEAE#KOPSIA FRUTICOSA#LUTEOLIN
APOCYNACEAE#TRACHELOSPERMUM AXILLARE#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-GENTIOBIOSIDE
APOCYNACEAE#TRACHELOSPERMUM GRACILIPES#LUTEOLIN-4-O-GLUCOSIDE
APOCYNACEAE#TRACHELOSPERMUM JASMINOIDES#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-GENTIOBIOSIDE
APOCYNACEAE#TRACHELOSPERMUM JASMINOIDES_VAR.PUBESCENS#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GENTIOBIOSIDE
AQUIFOLIACEAE#ILEX BELIZENSIS#LUTEOLIN
AQUIFOLIACEAE#ILEX LEUCOCLADA#LUTEOLIN
ARACEAE#ACORUS CALAMUS#LUTEOLIN-6-8-DI-C-GLYCOSIDE
ARACEAE#ARUM MACULATUM#LUTEOLIN
ARACEAE#COLOCASIA ESCULENTA#LUTEOLIN,3'-4'-DIMETHOXY:
ARACEAE#DRACUNCULUS VULGARIS#LUTEOLIN
ARACEAE#EMINIUM SPICULATUM#LUTEOLIN-3'-O-BETA-D-GLUCOSIDE
ARACEAE#PHILODENDRON BIPINNATIFIDUM#LUTEOLIN
ARACEAE#PISTIA STRATIOTES#LUTEOLIN-7-GLYCOSIDE
ARACEAE#SYNANDROSPADIX VERMITOXICUS#LUTEOLIN
ARECACEAE#AIPHANES ACULEATA#LUTEOLIN
ARECACEAE#PHOENIX CANARIENSIS#LUTEOLIN-7-O-BETA-D-RUTINOSIDE
ARECACEAE#PHOENIX DACTYLIFERA#LUTEOLIN SULFATE#LUTEOLIN-7-O-BETA-D-GLUCOSIDE-DISULFATE#LUTEOLIN-7-RUTINOSIDE
ARECACEAE#PHOENIX HANCEANA_VAR.#LUTEOLIN,7-O-BETA-D-GLUCOSIDE:
ARECACEAE#PHOENIX HUMILIS_VAR.HANCEANA#LUTEOLIN,GLUCO:
ARECACEAE#PHOENIX ROEBELINII#LUTEOLIN-C-GLYCOSIDE#LUTEOLIN-C-GLYCOSIDE SULFATE
ARECACEAE#TRACHYCARPUS WAGNERIANUS#LUTEOLIN,GLUCO:
ASCLEPIADACEAE#ARAUJIA SERICIFERA#LUTEOLIN,7-O-BETA-D-GLUCOSYL:
ASCLEPIADACEAE#CARALLUMA ARABICA#LUTEOLIN-4'-O-NEOHESPERIDOSIDE#LUTEOLIN-6-O-BETA-D-GLUCOSIDE-3'-O-ALPHA-L-RHAMNOSIDE
ASCLEPIADACEAE#CARALLUMA ATTENUATA#LUTEOLIN-4'-O-NEOHESPERIDOSIDE
ASCLEPIADACEAE#CARALLUMA LASIANTHA#LUTEOLIN-4'-O-NEOHESPERIDOSIDE
ASCLEPIADACEAE#CARALLUMA NEGEVENSIS#LUTEOLIN-3'-4'-DI-O-BETA-D-GLUCOPYRANOSIDE#LUTEOLIN-3'-O-BETA-GLUCOPYRANOSIDE-4'-O-ALPHA-L-RHAMNOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSIDE
ASCLEPIADACEAE#CARALLUMA RUSSELLIANA#LUTEOLIN-4'-O-BETA-D-NEOHESPERIDOSIDE
ASCLEPIADACEAE#CARALLUMA UMBELLATA#LUTEOLIN-4'-O-NEOHESPERIDOSIDE
ASCLEPIADACEAE#GOMPHOCARPUS SINAICUS#LUTEOLIN-7-O-BETA-D-GLUCOSIDE-3'-O-ALPHA-L-RHAMNOSIDE
ASCLEPIADACEAE#LEPTADENIA RETICULATA#LUTEOLIN
ASCLEPIADACEAE#STAPELIA HIRSUTA#LUTEOLIN
ASPLENIACEAE#ASPLENIUM NORMALE_VAR.NORMALE#LUTEOLIN-7-O-ALPHA-L-DIRHAMNOSIDE
ASPLENIACEAE#ASPLENIUM NORMALE_VAR.SHIMURAE#LUTEOLIN-7-O-GLUCOSYL-RHAMNOSIDE
ASPLENIACEAE#ASPLENIUM VIVIPARUM#LUTEOLIN-6-8-DI-C-RHAMNOSIDE
ASTERACEAE#ACHILLEA BIEBERSTEINII#LUTEOLIN
ASTERACEAE#ACHILLEA CARTILAGINEA#LUTEOLIN
ASTERACEAE#ACHILLEA CLAVENNAE_VAR.CAPITATA#LUTEOLIN#LUTEOLIN,6-HYDROXY:
ASTERACEAE#ACHILLEA COLLINA#LUTEOLIN
ASTERACEAE#ACHILLEA CRITHMIFOLIA#LUTEOLIN
ASTERACEAE#ACHILLEA DISTANS#LUTEOLIN
