ANACARDIACEAE#ANACARDIUM OCCIDENTALE#MYRICETIN
MYRTACEAE#SYZYGIUM CUMINI#MYRICETIN#MYRICETIN-3-O-(4''-ACETYL)-ALPHA-L-RHAMNOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-D-GLUCURONOPYRANOSIDE#MYRICETIN-3-O-ROBINOSIDE#MYRICETIN-4''-O-ACETYL-2''-O-GALLATE#MYRICETIN-4'-METHYL ETHER-3-O-ALPHA-L-RHAMNOPYRANOSIDE
MYRTACEAE#SYZYGIUM JAMBOS#MYRICETIN#MYRICETIN-3-O-BETA-D-XYLOPYRANOSYL(1-2)-ALPHA-L-RHAMNOPYRANOSIDE
MYRTACEAE#SYZYGIUM SAMARANGENSE#MYRICETIN,2'-METHYL-5'-D-GALLOYL: 3-O-ALPHA-L-RHAMNOPYRANOSIDE
NYMPHAEACEAE#NELUMBO NUCIFERA#MYRICETIN-3'-5'-DIMETHYL ETHER 3-O-BETA-D-GLUCOSIDE
NYMPHAEACEAE#NYMPHAEA CAERULEA#MYRICETIN-3-(2''-ACETYL-RHAMNOSIDE)#MYRICETIN-3-O-(3''-O-ACETYL)-ALPHA-L-RHAMNOSIDE#MYRICETIN-3-O-ALPHA-L-RHAMNOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
NYMPHAEACEAE#NYMPHAEA LOTUS#MYRICETIN,7-O-METHYL: 4'-O-BETA-D-XYLOSIDE#MYRICETIN-3'-O-(6''-PARA-COUMAROYL)-GLUCOSIDE
NYMPHAEACEAE#NYMPHAEA MARLIACEA#MYRICETIN-3-O-ALPHA-RHAMNOPYRANOSYL(1-6)-BETA-GALACTOSIDE
NYMPHAEACEAE#NYMPHAEA MARLIACEA_VAR.ESCARBOUCLE-RED#MYRICETIN-3'-BETA-XYLOPYRANOSIDE
NYMPHAEACEAE#NYMPHAEA ODORATA#MYRICETIN#MYRICETIN-3-O-(6''-O-ACETYL)-BETA-D-GALACTOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GALACTOPYRANOSIDE
OLEACEAE#LIGUSTRUM ITALICUM#MYRICETIN
ONAGRACEAE#EPILOBIUM ADENOCAULON#MYRICETIN
ONAGRACEAE#EPILOBIUM ALPESTRE#MYRICETIN GLYCOSIDE
ONAGRACEAE#EPILOBIUM ALSINIFOLIUM#MYRICETIN GLYCOSIDE
ONAGRACEAE#EPILOBIUM ANGUSTIFOLIUM#MYRICETIN#MYRICETIN GLYCOSIDE#MYRICETIN-3-O-BETA-D-GLUCURONIDE
ONAGRACEAE#EPILOBIUM DODONAEI#MYRICETIN GLYCOSIDE#MYRICETIN-3-O-(6''-O-GALLOYL)-BETA-D-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ONAGRACEAE#EPILOBIUM FLEISCHERI#MYRICETIN
ONAGRACEAE#EPILOBIUM HIRSUTUM#MYRICETIN#MYRICETIN GLYCOSIDE#MYRICETIN RUTINOSIDE#MYRICETIN-3-ALPHA-ARABINOPYRANOSIDE#MYRICETIN-3-GALACTOSIDE#MYRICETIN-3-GLUCURONIDE
ONAGRACEAE#EPILOBIUM MONTANUM#MYRICETIN GLYCOSIDE
ONAGRACEAE#EPILOBIUM PALUSTRE#MYRICETIN
ONAGRACEAE#EPILOBIUM PARVIFLORUM#MYRICETIN GLYCOSIDE
ONAGRACEAE#EPILOBIUM ROSEUM#MYRICETIN GLYCOSIDE
ONAGRACEAE#EPILOBIUM ROSMARINIFOLIUM#MYRICETIN
ONAGRACEAE#HARTMANNIA ROSEA#MYRICETIN-3-METHYL ETHER#MYRICETIN-3-METHYL ETHER-3'-O-GLUCOSIDE#MYRICETIN-3-O-GLUCOSIDE
ONAGRACEAE#HETEROGAURA HETERANDRA#MYRICETIN-3-O-GLUCOSIDE
ONAGRACEAE#LUDWIGIA ADSCENDENS#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ONAGRACEAE#LUDWIGIA PEPLOIDES_VAR.STIPULACEA#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-GALACTOSIDE
ONAGRACEAE#OENOTHERA CANESCENS#MYRICETIN-3-METHYL ETHER-3'-O-GLUCOSIDE#MYRICETIN-3-O-GALACTOSIDE
ONAGRACEAE#OENOTHERA DESERTICOLA#MYRICETIN-3-O-GALACTOSIDE
ONAGRACEAE#OENOTHERA DISSECTA#MYRICETIN-3-7-O-DIGLUCOSIDE
ONAGRACEAE#OENOTHERA EPILOBIFOLIA_SSP.CUPREA#MYRICETIN-3-O-GALACTOSIDE
ONAGRACEAE#OENOTHERA FRUTICOSA_SSP.FRUTICOSA#MYRICETIN-3-METHYL ETHER-3'-O-GLUCOSIDE#MYRICETIN-3-O-GALACTOSIDE
ONAGRACEAE#OENOTHERA HOWARDII#MYRICETIN-3-O-GALACTOSIDE
ONAGRACEAE#OENOTHERA LAVANDULAEFOLIA#MYRICETIN-3-BETA-GALACTOSIDE
ONAGRACEAE#OENOTHERA LINIFOLIA#MYRICETIN-3-O-GLUCOSIDE
ONAGRACEAE#OENOTHERA MULTICAULIS#MYRICETIN-3-O-GALACTOSIDE
ONAGRACEAE#OENOTHERA PILOSELLA_SSP.SESSILIS#MYRICETIN-3-METHYL ETHER-3'-O-GLUCOSIDE#MYRICETIN-3-O-GALACTOSIDE#MYRICETIN-7-METHYL ETHER-3'-O-GALACTOSIDE
ONAGRACEAE#OENOTHERA SPACHIANA#MYRICETIN-3-METHYL ETHER-3'-O-GLUCOSIDE
ONAGRACEAE#OENOTHERA SPECIOSA#MYRICETIN-3-7-O-DIGLUCURONIDE#MYRICETIN-3-METHYL ETHER-3'-O-GLUCOSIDE#MYRICETIN-3-O-ARABINOSIDE#MYRICETIN-3-O-GALACTOSIDE#MYRICETIN-3-O-METHYL ETHER-3'-O-BETA-D-GLUCOSIDE
ONAGRACEAE#OENOTHERA TETRAPTERA#MYRICETIN-3-O-GALACTOSIDE
ONAGRACEAE#XYLONAGRA ARBOREA#MYRICETIN-3-O-GLUCOSIDE
PINACEAE#CEDRUS ATLANTICA_CV.GLAUCA#MYRICETIN-3-O-BETA-GLUCOSIDE
PINACEAE#LARIX DAHURICA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
PINACEAE#LARIX DECIDUA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
PINACEAE#LARIX GMELINII#MYRICETIN#MYRICETIN,3'-METHYL:
PINACEAE#LARIX SIBIRICA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
PINACEAE#PICEA ABIES#MYRICETIN#MYRICETIN-3-4'-DI-O-BETA-D-GLUCOPYRANOSIDE#MYRICETIN-3-O-(6''-ALPHA-RHAMNOPYRANOSYL)-BETA-GLUCOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-RUTINOSIDE#MYRICETIN-3-RUTINOSIDE
PINACEAE#PINUS BRUTIA#MYRICETIN
PINACEAE#PINUS BRUTIA_VAR.BRUTIA#MYRICETIN
PINACEAE#PINUS CONTORTA#MYRICETIN
PINACEAE#PINUS ELDARICA#MYRICETIN
PINACEAE#PINUS HALEPENSIS#MYRICETIN
PINACEAE#PINUS RADIATA#MYRICETIN
PINACEAE#PINUS RIGIDA#MYRICETIN
PINACEAE#PINUS SYLVESTRIS#MYRICETIN,DIHYDRO: 3'-O-BETA-D-GLUCOPYRANOSIDE,(+):
PINACEAE#PSEUDOLARIX AMABILIS#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE
PLUMBAGINACEAE#ACANTHOLIMON GLUMACEUM#MYRICETIN
PLUMBAGINACEAE#ARMERIA MARITIMA#MYRICETIN
PLUMBAGINACEAE#CERATOSTIGMA MINUS#MYRICETIN
PLUMBAGINACEAE#CERATOSTIGMA PLUMBAGINOIDES#MYRICETIN,5-METHYL: 3-GALACTOSIDE
PLUMBAGINACEAE#CERATOSTIGMA WILLMOTTIANUM#MYRICETIN
PLUMBAGINACEAE#LIMONIUM AXILLARE#MYRICETIN#MYRICETIN-3-O-BETA-D-SORBOSIDE
PLUMBAGINACEAE#LIMONIUM BICOLOR#MYRICETIN-3-O-(6''-GALLOYL)-BETA-D-GALACTOSIDE
PLUMBAGINACEAE#LIMONIUM CASPIUM#MYRICETIN
PLUMBAGINACEAE#LIMONIUM GMELINII#MYRICETIN#MYRICETIN MONOMETHYL ETHER#MYRICETIN RHAMNOGLUCOSIDE
PLUMBAGINACEAE#LIMONIUM SINENSIS#MYRICETIN#MYRICETIN-3-O-(2''-O-GALLOYL)-ALPHA-RHAMNOPYRANOSIDE#MYRICETIN-3-O-(2''-O-PARA-HYDROXY-BENZOYL)-ALPHA-RHAMNOPYRANOSIDE#MYRICETIN-3-O-(4''-O-GALLOYL)-ALPHA-RHAMNOPYRANOSIDE#MYRICETIN-3-O-(6''-O-GALLOYL)-ALPHA-RHAMNOPYRANOSIDE#MYRICETIN-3-O-(6''-O-GALLOYL)-BETA-GALACTOPYRANOSIDE#MYRICETIN-3-O-ALPHA-RHAMNOPYRANOSIDE#MYRICETIN-3-O-ALPHA-RHAMNOSIDE#MYRICETIN-3-O-BETA-ARABINOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-GALACTOPHRANOSIDE
PLUMBAGINACEAE#LIMONIUM SINUATUM#MYRICETIN-3'-METHYL ETHER-7-O-BETA-D-GLUCOPYRANOSIDE
PLUMBAGINACEAE#PLUMBAGO CAERULEA#MYRICETIN-3-GLUCOSIDE
PLUMBAGINACEAE#PLUMBAGO EUROPAEA#MYRICETIN,5-O-METHYL: GLYCOSIDE
PODOCARPACEAE#DACRYCARPUS DACRYDIOIDES#MYRICETIN,3-4''-DI-O-METHYL: 7-O-RHAMNOSIDE-3'-O-XYLOSIDE#MYRICETIN,3-4'-DI-O-METHYL-7-O-RHAMNOPYRANOSIDE-3-3'-O-XYLOPYRANOSIDE#MYRICETIN,3-4'-DI-O-METHYL: 3'-O-XYLOPYRANOSIDE#MYRICETIN,3-4'-O-METHYL: 3'-O-XYLOSIDE#MYRICETIN,3-O-METHYL: 3'-O-XYLOPYRANOSIDE#MYRICETIN,3-O-METHYL: 3'-O-XYLOSIDE#MYRICETIN,3-O-METHYL: 7-O-RHAMNOPYRANOSIDE#MYRICETIN,3-O-METHYL: 7-O-RHAMNOPYRANOSIDE-3'-O-XYLOPYRANOSIDE#MYRICETIN,3-O-METHYL: 7-O-RHAMNOSIDE
PODOCARPACEAE#PODOCARPUS HALLII#MYRICETIN,3-O-METHYL: 7-O-RHAMNOSIDE-3'-O-XYLOSIDE
POLYGONACEAE#ATRAPHAXIS MUSCHKETOVII#MYRICETIN
POLYGONACEAE#COCCOLOBA UVIFERA#MYRICETIN-3-O-GLUCOSIDE
POLYGONACEAE#ERIOGONUM NUDUM_SSP.SAXICOLA#MYRICETIN-3-O-ALPHA-L-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GLUCURONIDE
POLYGONACEAE#FALLOPIA CONVOLVULUS#MYRICETIN-3-O-GLUCOSIDE
POLYGONACEAE#FALLOPIA DENTATO-ALATA#MYRICETIN-3-O-GLUCOSIDE
POLYGONACEAE#FALLOPIA DUMETORUM#MYRICETIN-3-O-GALACTOSIDE#MYRICETIN-3-O-GLUCOSIDE
POLYGONACEAE#FALLOPIA SCANDENS#MYRICETIN-3-O-GLUCOSIDE
POLYGONACEAE#POLYGONUM AJANENSE#MYRICETIN
POLYGONACEAE#POLYGONUM ALPINUM#MYRICETIN#MYRICETIN-3-O-BETA-GALACTOPYRANOSIDE
POLYGONACEAE#POLYGONUM AMPHIBIUM_VAR.NATANS#MYRICETIN
POLYGONACEAE#POLYGONUM AMPHIBIUM_VAR.TERRESTRE#MYRICETIN
POLYGONACEAE#POLYGONUM ANGUSTIFOLIUM#MYRICETIN
POLYGONACEAE#POLYGONUM AVICULARE#MYRICETIN#MYRICETIN-3-O-RHAMNOGLUCOSIDE#MYRICETIN-3-O-RHAMONARABINOSIDE
POLYGONACEAE#POLYGONUM AVICULARE_SSP.MACROTYPUS#MYRICETIN
POLYGONACEAE#POLYGONUM BAICALENSE#MYRICETIN
POLYGONACEAE#POLYGONUM BALDSCHUANICUM#MYRICETIN
POLYGONACEAE#POLYGONUM BISTORTA#MYRICETIN
POLYGONACEAE#POLYGONUM BUCHARICUM#MYRICETIN
POLYGONACEAE#POLYGONUM CALCATUM#MYRICETIN
POLYGONACEAE#POLYGONUM CORIARIUM#MYRICETIN
POLYGONACEAE#POLYGONUM DIVARICATUM#MYRICETIN
POLYGONACEAE#POLYGONUM GRACILE#MYRICETIN
POLYGONACEAE#POLYGONUM HISSARICUM#MYRICETIN
POLYGONACEAE#POLYGONUM HYDROPIPER#MYRICETIN
POLYGONACEAE#POLYGONUM LAPATHIFOLIUM#MYRICETIN
POLYGONACEAE#POLYGONUM LAXMANNII#MYRICETIN
POLYGONACEAE#POLYGONUM LIMOSUM#MYRICETIN
POLYGONACEAE#POLYGONUM LUXURIANS#MYRICETIN
POLYGONACEAE#POLYGONUM MINUS#MYRICETIN
POLYGONACEAE#POLYGONUM MOLLIAEFORME#MYRICETIN
POLYGONACEAE#POLYGONUM PARONYCHIOIDES#MYRICETIN
POLYGONACEAE#POLYGONUM PATULUM#MYRICETIN
POLYGONACEAE#POLYGONUM RELICTUM#MYRICETIN
POLYGONACEAE#POLYGONUM SCABRUM#MYRICETIN
POLYGONACEAE#POLYGONUM SERICEUM#MYRICETIN
POLYGONACEAE#POLYGONUM SONGARICUM#MYRICETIN
POLYGONACEAE#POLYGONUM THYMIFOLIUM#MYRICETIN
POLYGONACEAE#POLYGONUM TOMENTOSUM#MYRICETIN
POLYGONACEAE#POLYGONUM TRIPTEROCARPUM#MYRICETIN
POLYGONACEAE#POLYGONUM VISCOFERUM#MYRICETIN
POLYGONACEAE#POLYGONUM VIVIPARUM#MYRICETIN
POLYGONACEAE#POLYGONUM WEYRICHII#MYRICETIN
PRIMULACEAE#CYCLAMEN GRAECUM#MYRICETIN
PRIMULACEAE#LYSIMACHIA CONGESTIFLORA#MYRICETIN#MYRICETIN-3-O-ALPHA-ARABINOFURANOSIDE
PRIMULACEAE#LYSIMACHIA NUMMULARIA#MYRICETIN#MYRICETIN-3-O-ALPHA-ARABINOFURANOSIDE
PRIMULACEAE#LYSIMACHIA VULGARIS#MYRICETIN#MYRICETIN-3-O-ALPHA-L-RHAMNOSYL-BETA-D-GLUCOSIDE
PRIMULACEAE#PRIMULA AURICULA#MYRICETIN
PRIMULACEAE#PRIMULA CAPITATA#MYRICETIN
PRIMULACEAE#PRIMULA SECUNDIFLORA#MYRICETIN
PRIMULACEAE#PRIMULA SMITHIANA#MYRICETIN
PROTEACEAE#AULAX CNEORIFOLIA#MYRICETIN
PROTEACEAE#AULAX PALLASIA#MYRICETIN
PROTEACEAE#GREVILLEA ROBUSTA#MYRICETIN-3-O-RUTINOSIDE
PROTEACEAE#LEUCADENDRON ABIETINUM#MYRICETIN
PROTEACEAE#LEUCADENDRON ADSCENDENS#MYRICETIN
PROTEACEAE#LEUCADENDRON AEMULUM#MYRICETIN
PROTEACEAE#LEUCADENDRON CINEREUM#MYRICETIN
PROTEACEAE#LEUCADENDRON CORYMBOSUM#MYRICETIN
PROTEACEAE#LEUCADENDRON CRASSIFOLIUM#MYRICETIN
PROTEACEAE#LEUCADENDRON EUCALYPTIFOLIUM#MYRICETIN
PROTEACEAE#LEUCADENDRON GALPINII#MYRICETIN
PROTEACEAE#LEUCADENDRON GLABRUM#MYRICETIN
PROTEACEAE#LEUCADENDRON RAMOSISSIMUM#MYRICETIN
PROTEACEAE#LEUCADENDRON SALIGNUM#MYRICETIN
PROTEACEAE#LEUCOSPERMUM ALPINUM_SSP.AMOENUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM ATTENUATUM#MYRICETIN
PROTEACEAE#LEUCOSPERMUM BOLUSII#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM BUXIFOLIUM#MYRICETIN
PROTEACEAE#LEUCOSPERMUM CALLIGERUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM CATHERINAE#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM CONOCARPODENDRON#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM CORDATUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM CORDIFOLIUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM CUNEIFORME#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM ERUBESCENS#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM FORMOSUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM FULGENS#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM GLABRUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM GUEINZII#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM INNOVANS#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM LINEARE#MYRICETIN#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM MUIRII#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM MUNDII#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM OLEIFOLIUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM PLURIDENS#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM PRAECOX#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM PROSTRATUM#MYRICETIN
PROTEACEAE#LEUCOSPERMUM REFLEXUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM ROYENIFOLIUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM SAXOSUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM SPATHULATUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM TOMENTOSUM#MYRICETIN#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM TOTTUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM TRUNCATULUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM UTRICULOSUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#LEUCOSPERMUM VESTITUM#MYRICETIN-3-O-BETA-D-RUTINOSIDE
PROTEACEAE#MIMETES HOTTENTOTICA#MYRICETIN
PROTEACEAE#MIMETES LYRIGERA#MYRICETIN
PROTEACEAE#PARANOMUS MEDIUS#MYRICETIN
PROTEACEAE#PARANOMUS SPICATUS#MYRICETIN
PROTEACEAE#PROTEA HIRTA_SSP.GLABRESCENS#MYRICETIN
PROTEACEAE#PROTEA INCOMPTA#MYRICETIN
PROTEACEAE#PROTEA LAURIFOLIA#MYRICETIN
PROTEACEAE#PROTEA MARGINATA#MYRICETIN
PROTEACEAE#PROTEA MUNDII#MYRICETIN
PROTEACEAE#PROTEA NERIIFOLIA#MYRICETIN
PROTEACEAE#PROTEA SIMPLEX#MYRICETIN
PTERIDACEAE#CHEILANTHES FRAGRANS#MYRICETIN-3-O-BETA-D-GLUCOSIDE-7-O-BETA: 1-GALACTOSIDE
RESTIONACEAE#CHONDROPETALUM DEUSTUM#MYRICETIN#MYRICETIN-3-GALACTOSIDE
RESTIONACEAE#CHONDROPETALUM HOOKERIANUM#MYRICETIN#MYRICETIN-3-GALACTOSIDE
RESTIONACEAE#CHONDROPETALUM MICROCARPUM#MYRICETIN#MYRICETIN-3-GALACTOSIDE
RESTIONACEAE#CHONDROPETALUM MUCRONATUM#MYRICETIN#MYRICETIN-3-GALACTOSIDE
RESTIONACEAE#CHONDROPETALUM NUDUM#MYRICETIN#MYRICETIN-3-GALACTOSIDE
RESTIONACEAE#CHONDROPETALUM RECTUM#MYRICETIN#MYRICETIN-3-GALACTOSIDE
RHAMNACEAE#COLUBRINA FARALAOTRA_SSP.TRICHOCARPA#MYRICETIN
RHAMNACEAE#HOVENIA ACERBA#MYRICETIN
RHAMNACEAE#HOVENIA DULCIS#MYRICETIN#MYRICETIN,DIHYDRO: (+):
RHAMNACEAE#ZIZIPHUS JUJUBA#MYRICETIN
RHAMNACEAE#ZIZIPHUS RUGOSA#MYRICETIN
RHOIPTELEACEAE#RHOIPTELEA CHILIANTHA#MYRICETIN-3-O-ALPHA-L-ARABINOPYRANOSIDE#MYRICETIN-3-O-BETA-D-(6'-O-GALLOYL)-GALACTOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GALACTOPYRANOSIDE
ROSACEAE#FILIPENDULA ULMARIA#MYRICETIN
ROSACEAE#MALUS SYLVESTRIS#MYRICETIN
ROSACEAE#POTENTILLA ANSERINA#MYRICETIN-3-O-BETA-D-GLUCURONIDE
RUBIACEAE#ANTHOCEPHALUS CHINENSIS#MYRICETIN-3-O-(4''-ACETYL)-ALPHA-FUCOSIDE
RUBIACEAE#COFFEA ARABICA#MYRICETIN
RUBIACEAE#COPROSMA ARBOREA#MYRICETIN#MYRICETIN-3-O-BETA-D-DIGLUCOSIDE#MYRICETIN-3-O-GLUCOSYL-ARABINOSIDE#MYRICETIN-3-O-GLUCOSYL-XYLOSIDE
RUBIACEAE#COPROSMA LINARIIFOLIA#MYRICETIN#MYRICETIN-3-O-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-GLUCOSYL-RHAMNOSIDE#MYRICETIN-3-O-GLUCOSYL-XYLOSIDE#MYRICETIN-7-O-BETA-D-GLUCOSIDE
RUBIACEAE#COPROSMA SERRULATA#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-GLUCOSYL-RHAMNOSIDE#MYRICETIN-3-O-GLUCOSYL-RHAMNOSIDE-7-O-BETA-D-GLUCOSIDE#MYRICETIN-7-O-BETA-D-GLUCOSIDE
RUBIACEAE#CROSSOPTERYX FEBRIFUGA#MYRICETIN-3-GALACTOSIDE
RUTACEAE#CITRUS MAXIMA#MYRICETIN
RUTACEAE#CITRUS MEDICA#MYRICETIN
RUTACEAE#CITRUS SINENSIS#MYRICETIN
RUTACEAE#CLAUSENA EXCAVATA#MYRICETIN-3'-5-DIMETHYL ETHER 3-O-RHAMNOSIDE
SALICACEAE#POPULUS ACUMINATA#MYRICETIN DIGLUCOSIDE
SALICACEAE#POPULUS ANGUSTIFOLIA#MYRICETIN DIGLUCOSIDE
SALICACEAE#POPULUS CANDICANS#MYRICETIN-3-O-BETA-D-GALACTOSIDE
SALICACEAE#SALIX PANTOSERICEA#MYRICETIN
SALICACEAE#SALIX SACHALINENSIS#MYRICETIN
SAPINDACEAE#XANTHOCERAS SORBIFOLIA#MYRICETIN#MYRICETIN,2-ALPHA-3-BETA-DIHYDRO:
SAPOTACEAE#ARGANIA SPINOSA#MYRICETIN-3-O-GALACTOSIDE
SAPOTACEAE#GLYCOXYLON HUBERI#MYRICETIN,2-3-DIHYDRO:#MYRICETIN,2-3-DIHYDRO: 3-O-ALPHA-L-RHAMNOSIDE
SAPOTACEAE#MADHUCA BUTYRACEA#MYRICETIN
SAPOTACEAE#MADHUCA PASQUIERI#MYRICETIN
SAPOTACEAE#RICHARDELLA DULCIFICA#MYRICETIN#MYRICETIN-3-O-BETA-D-GALACTOSIDE
SAXIFRAGACEAE#ASTILBE THUNBERGII#MYRICETIN-3-O-ALPHA-L-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
SAXIFRAGACEAE#HEUCHERA CYLINDRICA_VAR.GLABELLA#MYRICETIN#MYRICETIN-3-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#MYRICETIN-3-O-BETA-D-DIGLUCOSIDE II#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-D-RUTINOSIDE#MYRICETIN-3-O-GLUCOSYL-GALLATE#MYRICETIN-3-O-TRIGLUCOSIDE
SAXIFRAGACEAE#HEUCHERA MICRANTHA_VAR.DIVERSIFOLIA#MYRICETIN#MYRICETIN-3-O-ALPHA-L-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE-6''-GALLATE#MYRICETIN-3-O-BETA-D-GLUCOSYL-GLUCOSIDE#MYRICETIN-3-O-BETA-D-XYLOSIDE#MYRICETIN-3-O-BETA-D-XYLOSYL-XYLOSIDE
SAXIFRAGACEAE#LEPTARRHENA PYROLIFOLIA#MYRICETIN-3-O-ALPHA-L-GALACTOSIDE#MYRICETIN-3-O-BETA-D-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-D-XYLOSIDE
SAXIFRAGACEAE#PELTIPHYLLUM PELTATUM#MYRICETIN#MYRICETIN-3-O-ALPHA-L-ARABINOSIDE#MYRICETIN-3-O-BETA-D-DIGLYCOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-D-XYLOSIDE
SAXIFRAGACEAE#RIBES ALPINUM#MYRICETIN
SAXIFRAGACEAE#RIBES NIGRUM#MYRICETIN#MYRICETIN-3-GLUCOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-RUTINOSIDE
SAXIFRAGACEAE#RIBES NIGRUM_CV.WELLINGTON#MYRICETIN-3-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
SAXIFRAGACEAE#RIBES VISCOSISSIMUM_VAR.VISCOSSISIMUM#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-RUTINOSIDE
SAXIFRAGACEAE#SAXIFRAGA CERNUA#MYRICETIN-3-O-BETA-D-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSYL-GLUCOSIDE
SAXIFRAGACEAE#SAXIFRAGA TOLMIEI#MYRICETIN-7-O-BETA-D-GLUCOSIDE
SAXIFRAGACEAE#SAXIFRAGA TRICUSPIDATA#MYRICETIN-3-O-ALPHA-L-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSYL-GLUCOSIDE#MYRICETIN-3-O-XYLOSIDE
SAXIFRAGACEAE#TELLIMA GRANDIFLORA#MYRICETIN-3-(6''-GALLOYL-GALACTOSIDE)#MYRICETIN-3-(6''-GALLOYL-GLUCOSIDE)#MYRICETIN-3-GALLOYL-GALACTOSIDE#MYRICETIN-3-GALLOYL-GLUCOSIDE
SAXIFRAGACEAE#TIARELLA TRIFOLIATA_VAR.LACINIATA#MYRICETIN
