ANACARDIACEAE#ANACARDIUM OCCIDENTALE#MYRICETIN
CHRYSOBALANACEAE#LICANIA DENSIFLORA#MYRICETIN-3'-4'-DIMETHYL ETHER 3-O-BETA-D-GLUCOPYRANOSIDE#MYRICETIN-3'-5'-DIMETHYL ETHER 3-O-BETA-D-GLUCOSIDE#MYRICETIN-3'-5'-DIMETHYL ETHER 3-O-RHAMNOSIDE#MYRICETIN-3'-METHYL ETHER 3-O-BETA-D-GLUCOSIDE#MYRICETIN-3'-METHYL ETHER 3-O-GALACTOSIDE#MYRICETIN-3-O-ALPHA-L-(2''-O-ALPHA-L-RHAMNOPYRANOSYL)-RHAMNOPYRANOSIDE#MYRICETIN-4'-METHYL ETHER 3-O-RHAMNOSIDE
CHRYSOBALANACEAE#LICANIA HETEROMORPHA_VAR.HETEROMORPHA#MYRICETIN,4'-METHOXY: 3-GALACTOSIDE#MYRICETIN,4'-METHOXY: 3-O-BETA-D-GLUCOSIDE#MYRICETIN,4'-METHOXY: 3-RHAMNOSIDE#MYRICETIN,7-METHOXY: 3-4'-DIRHAMNOSIDE#MYRICETIN-3-4'-DI-O-ALPHA-L-RHAMNOPYRANOSIDE#MYRICETIN-3-4'-DIRHAMNOSIDE#MYRICETIN-3-GALACTOSIDE#MYRICETIN-4'-METHYL ETHER-3-O-BETA-D-GALACTOPYRANOSIDE#MYRICETIN-7-METHYL ETHER-3-4'-DI-O-ALPHA-L-RHAMNOPYRANOSIDE
CHRYSOBALANACEAE#LICANIA LICANIAEFLORA#MYRICETIN,DIHYDRO: 3-O-ALPHA-RHAMNOSIDE#MYRICETIN-3-O-ALPHA-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GALACTOSIDE
CHRYSOBALANACEAE#LICANIA PITTIERI#MYRICETIN
CHRYSOBALANACEAE#LICANIA PYRIFOLIA#MYRICETIN#MYRICETIN-3-(2''-XYLOSYL)-RHAMNOSIDE
CISTACEAE#CISTUS CRETICUS#MYRICETIN-3-O-BETA-D-GALACTOPYRANOSIDE
CISTACEAE#CISTUS INCANUS#MYRICETIN
CISTACEAE#CISTUS INCANUS_SSP.INCANUS#MYRICETIN-3-O-GALACTOSIDE
CISTACEAE#CISTUS INCANUS_SSP.TAURICUS#MYRICETIN,2-R-3-R-DIHYDRO:
CISTACEAE#CISTUS LADANIFERUS#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-RUTINOSIDE
CISTACEAE#CISTUS LAURIFOLIUS#MYRICETIN#MYRICETIN-3-ARABINOSIDE#MYRICETIN-3-GALACTOSIDE#MYRICETIN-3-GLUCOSYL-RHAMNOSIDE
CISTACEAE#CISTUS MONSPELIENSIS#MYRICETIN-3'-4'-7-TRIMETHYL ETHER#MYRICETIN-3-3'-4'-7-TETRAMETHYL ETHER#MYRICETIN-3-3'-4'-TRIMETHYL ETHER#MYRICETIN-3-4'-5'-7-TETRAMETHYL ETHER
CISTACEAE#CISTUS PARVIFLORUS#MYRICETIN-3-3'-4'-7-TETRAMETHYL ETHER
CISTACEAE#CISTUS SALVIFOLIUS#MYRICETIN-3-O-GALACTOSIDE
CLUSIACEAE#CALOPHYLLUM INOPHYLLUM#MYRICETIN#MYRICETIN-7-O-BETA-D-GLUCOSIDE
CLUSIACEAE#HYPERICUM ANNULATUM_SSP.ANNULATUM#MYRICETIN
CLUSIACEAE#HYPERICUM AUCHERI#MYRICETIN#MYRICETIN-3-GLUCORONIDE#MYRICETIN-3-GLUCOSIDE
CLUSIACEAE#HYPERICUM BARBATUM#MYRICETIN
CLUSIACEAE#HYPERICUM CERASTOIDES#MYRICETIN
CLUSIACEAE#HYPERICUM CORIS#MYRICETIN
CLUSIACEAE#HYPERICUM DEGENII#MYRICETIN
CLUSIACEAE#HYPERICUM ELONGATUM#MYRICETIN
CLUSIACEAE#HYPERICUM EMPETRIFOLIUM#MYRICETIN
CLUSIACEAE#HYPERICUM HELIANTHEMOIDES#MYRICETIN
CLUSIACEAE#HYPERICUM HIRSUTUM#MYRICETIN
CLUSIACEAE#HYPERICUM HUMIFUSUM#MYRICETIN
CLUSIACEAE#HYPERICUM MONTANUM#MYRICETIN
