Cucurbita moschata, 111461408, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111447879, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111449846, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111453882, peroxidase 64-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111433481, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111433495, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111433663, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111447393, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111448308, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111431451, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111446513, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111453591, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111459105, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111459115, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111461252, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111454908, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111441472, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111449892, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111451077, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111451087, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111439881, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111457048, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111457103, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111459303, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111459305, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111454040, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111455070, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111449029, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111449037, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111452241, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111453204, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111454179, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111437144, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111437176, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111438591, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111449412, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111449607, peroxidase 11-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111451699, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111431563, LOW QUALITY PROTEIN: peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111452703, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111459154, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111442344, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111443398, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111448745, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111448795, peroxidase 4-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111430690, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111437794, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111437795, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111433202, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111462615, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111453852, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111456319, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111448170, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111433626, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111434811, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111436007, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111463993, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111464004, peroxidase N1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111464013, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111463103, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111456637, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111456638, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111458740, peroxidase 11-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111461013, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111451587, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111432075, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111432085, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111440424, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111440536, peroxidase 2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111440537, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111440539, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111440622, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111448236, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111455401, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111429930, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111437028, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111445207, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111435684, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111436873, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111436909, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Cucurbita moschata, 111438117, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
