ACANTHACEAE#THOMANDERSIA LAURIFOLIA#CYANIDIN
ACERACEAE#ACER PSEUDOPLATANUS#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER PUBIPALMATUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER PYCNANTHUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE#CYANIDIN-3-O-(2''-O-(GALLOYL)-BETA-D-GLUCOPYRANOSIDE)
ACERACEAE#ACER RUBRUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE#CYANIDIN-3-O-(2''-O-(GALLOYL)-BETA-D-GLUCOPYRANOSIDE)
ACERACEAE#ACER RUFINERVE#CYANIDIN-3-5-DIGLUCOSIDE
ACERACEAE#ACER SACCHARINUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER SACCHARUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER SACCHARUM_SSP.FLORIDANUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER SACCHARUM_SSP.GRANDIDENTATUM#CYANIDIN-3-O-(2''-O-(GALLOYL)-BETA-D-GLUCOPYRANOSIDE)
ACERACEAE#ACER SEMENOVII#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER SEMPERVIRENS#CYANIDIN-3-GALLOYL-GLUCOSIDE
